grade,subject,year,session,url
EGCSE,History,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2022 Question Paper 1.pdf
EGCSE,History,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2022 Question Paper 2.pdf
EGCSE,History,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2020 Question Paper 1.pdf
EGCSE,History,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2020 Question Paper 2.pdf
EGCSE,History,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2023 Question Paper 1.pdf
EGCSE,History,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2023 Question Paper 2.pdf
EGCSE,History,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 1.pdf
EGCSE,History,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 2.pdf
EGCSE,History,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 3.pdf
